"","3.1","3.2","3.3","4.1","4.2","5.1","5.2","5.3","5.4","6.2","6.3","6.4","6.5","7.2","7.3","7.4","7.5","8.1","8.2","12.2","12.3","13.1","13.2","16.2","16.3","17.1","17.2","17.3","17.4","18.2","18.3","19.1","19.2","28.1","28.11","28.2","45.11","45.12","Order"
"Cyprinodontiformes",0,0,0.024390243902439,0,0,0,0,0,0,0,0,0,0.00117233294255569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cyprinodontiformes"
"Ephippiformes",0,0,1.71576617538562e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,1.23514735307922e-06,"Ephippiformes"
"Esociformes",0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Esociformes"
"Gadiformes",0,0,0,0,0.010989010989011,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0.00117233294255569,9.86699293523306e-06,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,"Gadiformes"
"Galliformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032967032967033,0.5,0,0,0,"Galliformes"
"Gerreiformes",0,0,5.20210164906622e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gerreiformes"
"Gobiiformes",0.0487804878048781,0,1.66666666666667,0,0,0,0,0.000528960592435864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13518974696621e-05,0,0,0,0,0,0,0,0,0,0,0,"Gobiiformes"
"Holocentriformes",0.5,0,0.333333333333333,0,0,0,0.010989010989011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Holocentriformes"
"Istiophoriformes",0,0,0.0238095238095238,0,0,0,0,0.000217770034843206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Istiophoriformes"
"Kurtiformes",0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kurtiformes"
"Labriformes",0.000818330605564648,0,0.121951219512195,0,0,0,0,2.87841848174939e-06,0.00227790432801822,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23514735307922e-06,0,0,0,0,0,"Labriformes"
"Lamniformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55555555555556,0,0,"Lamniformes"
"Lophiiformes",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000264480296217932,0,0,0,0,0,0,0,0,"Lophiiformes"
