Acanthuriformes,Accipitriformes,Alepocephaliformes,Anabantiformes,Anguilliformes,Anseriformes,Anura,Apodiformes,Araneae,Argentiniformes,Artiodactyla,Aulopiformes,Batrachoidiformes,Beloniformes,Blenniiformes,Bucerotiformes,Carangiformes,Carcharhiniformes,Carnivora,Caudata,Centrarchiformes,Chaetodontiformes,Characiformes,Charadriiformes,Chimaeriformes,Chiroptera,Cichliformes,Ciconiiformes,Cingulata,Clupeiformes,Coelacanthiformes,Coleoptera,Columbiformes,Coraciiformes,Cuculiformes,Cypriniformes,Cyprinodontiformes,Dasyuromorphia,Dermoptera,Didelphimorphia,Dinornithiformes,Diprotodontia,Ephemeroptera,Eulipotyphla,Falconiformes,Gadiformes,Galaxiiformes,Galliformes,Gobiiformes,Gruiformes,Gymnophiona,Gymnotiformes,Hexanchiformes,Holocentriformes,Kurtiformes,Labriformes,Lagomorpha,Lamniformes,Lampriformes,Lophiiformes,Lutjaniformes,Macroscelidea,Microbiotheria,Monotremata,Mugiliformes,Myctophiformes,Myliobatiformes,Notacanthiformes,Ophidiiformes,Osmeriformes,Passeriformes,Paucituberculata,Pelecaniformes,Pempheriformes,Peramelemorphia,Perciformes,Percopsiformes,Perissodactyla,Petromyzontiformes,Pholidota,Piciformes,Pilosa,Pleuronectiformes,Podicipediformes,Polypteriformes,Primates,Pristiformes/Rhiniformes group,Procellariiformes,Psittaciformes,Rajiformes,Rodentia,Salmoniformes,Scombriformes,Siluriformes,Spariformes,Sphenisciformes,Squaliformes,Squamata,Stomiiformes,Struthioniformes,Synbranchiformes,Syngnathiformes,Testudines,Tetraodontiformes,Tinamiformes,Torpediniformes,Trachichthyiformes,Trogoniformes,Tubulidentata,Uranoscopiformes,Zeiformes,(blank)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,862,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,13,,,,1,5,4,,,,6,1,1,9,1,1,,2,3,,,,,4,,2,,,,,,,,1,,3,1,3,,2,,2,8,3,,,1,,7,,,,,,,,,,,3,1,,1,2,1,,,,,,1,5,,,1,,1,,,2,,,1,,1,,,,1,,,22,1,,,6,2,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,
,,,,,,2,3,,,3,,,,,,,,2,,,,3,1,,1,,,,7,,1,,,,,1,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,1,,8,,,,,,,,,,,,,,
,,,,,,2,,,,1,,,,,,,,,12,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,,,,,9,,,,,,,,,,1,,,,,2,,,,,,,5,,,,,,,,,,,,,,
,,,,,,16,,,,,,,,,,,,,4,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,2,,,,,
,,,,,,27,,,,6,,,,1,,,,1,,,,,,,7,,,,,,1,2,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,1,,,2,,,,5,2,,,,,,1,,,,,,,
,,2,1,31,2,57,6,,,16,,,32,6,,,,6,70,2,,,1,,13,,,,4,1,10,1,,,8,1,3,1,5,,19,,32,,21,,34,49,4,2,1,,,,3,15,14,,,14,37,,1,,1,,,,,8,,10,,4,1,,,,2,,,3,4,,9,10,1,4,3,43,1,,12,,3,1,128,9,,8,4,,3,,,,,4,,4,43
,,,,,,3,,1,,14,,,,,,,,,8,,,,,,1,1,1,,,,3,3,,1,3,,,,,,,,,,,,,5,,,,,,,10,3,,,,13,,1,,,,,,,,,,,1,,1,,,,,,,,,,2,,,,,16,,,,,,,28,,,,1,,,,,,,,,,
,,,,,,44,,,,7,,,8,9,,,1,,63,,,9,7,,7,,,10,2,,5,,1,1,22,5,2,,2,,,2,10,1,,,,10,,4,,,,,2,2,,,2,,,,,,,9,,,,2,,,,1,6,,2,1,,,,,,,5,,4,1,,17,,2,13,5,4,,42,6,,,6,,,,2,,1,,,1,2
,,1,,2,,15,1,,2,2,,,2,2,,,1,6,31,,,1,,,8,,,,12,,2,,,,16,,2,,1,6,6,,,,41,1,,15,5,,,,,,3,2,,,3,,,,,,,,,,,7,,,,,2,,1,,,,,4,,2,7,,,,,9,,,1,,,,63,,,,,3,4,,,,,4,,,6
,,,,,,13,2,,,2,,,,,,,,,18,,,1,,,2,,,,3,,1,,,1,4,,,,8,,,,7,,,,5,6,,,,,,5,1,,,,,,3,,,,1,,,,1,2,,,,1,2,5,,,,,,,,,18,,,,,13,,,,5,,,28,,1,,,5,,,,,1,,,1,2
,,,,2,,1,,,,2,,,,,,,,,15,2,,,,,2,,,,,,2,,,,7,,,,1,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,3,,2,,1,,,,,,,,,1,,,,2,,,,,1,,,2,,,,28,2,,,1,5,1,,,,,,,,9
,,,,,,9,,,,4,7,,,3,,,,,24,,4,6,12,2,2,,,,10,,3,,,,,,,,1,,,,1,,,,,3,,,,,,,,1,,,,,,,,,3,,,1,,1,,,,,,,,,,,,,,,6,,,,,2,,,3,,,,22,,,3,4,9,1,,,,,,,,1
,,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,1,,,,2,,,,1,,,,,,6,,1,,,,,,,,,2,,,4,,,,,,,,,,,1,,,,,,,1,,,,,,,,2,,,,,3,,,,,,1,17,2,,,,,,,,,,,,,
,,,,2,,2,,,,4,1,1,,,,,,,7,,,1,1,,2,,,,1,,2,,,,1,,,,,,1,,,6,1,,,1,,,,,7,1,,1,,,,1,,,,,3,,,,,1,,,,2,1,,3,,,,,,,,1,,,1,,4,,,7,,,,26,4,,,2,4,2,,,,,,,,9
,,,,1,,31,,,,2,,,,,,,,,6,2,,,,,,,,,4,,6,,1,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,9,2,,,,2,,,,,2,,4,,,,,2,,,,,,,,2,,4,3,,,,36,,1,,,,,,,,,,,4,1
3,1,,,2,,5,,,,,,,,,,,,,10,2,,,,,,,,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,,,,,2,,,,,,,,5,,,,,24,,,,,,1,,,,1,,3,,,,,,,,2,,,,4,,4,,,1,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,7,,,,,3,2,,,,,1,,,
3,,,,,,4,,,,,7,,,,,,,,2,,,,,3,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,10,,,,,,,,,,,,,,
