"","1.1","1.2","1.3","1.4","1.5","2.2","2.3","2.4","2.5","2.6","3.1","3.2","3.3","3.4","4.1","4.2","5.1","5.2","5.3","5.4","6.2","6.3","6.4","6.5","7.2","7.3","7.4","7.5","8.1","8.2","12.2","12.3","13.1","13.2","16.2","16.3","17.1","17.2"
"Centrarchiformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072992700729927,0,0,0,0,0,0.00235849056603774,0,0,0,0,0.0206185567010309,0,0,0,0.0153846153846154,0.0555555555555556,0,0
"Chaetodontiformes",0,0,0,0,0,0,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0.0181818181818182,0,0.0072992700729927,0.125,0,0,0,0,0,0,0,0,0,0,0.027027027027027,0,0,0,0,0,0
"Characiformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0.00680272108843537,0,0,0,0,0.075,0,0,0,0,0,0.0243243243243243,0.0033112582781457,0.00595238095238095,0,0.0405405405405405,0,0.0087719298245614,0,0,0,0
"Charadriiformes",0,0,0,0,0,0,0.0980392156862745,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0.0145985401459854,0,0.025,0,0.0238095238095238,0,0.00117924528301887,0,0.0189189189189189,0,0,0,0.0810810810810811,0,0.0087719298245614,0,0,0,0
"Chimaeriformes",0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0.0727272727272727,0,0.0218978102189781,0,0,0.025,0,0,0,0,0,0,0,0,0.0135135135135135,0,0,0,0,0,0.0810810810810811
"Chiroptera",0,0,0,0,0,0,0.0784313725490196,0.0952380952380952,0.05,0,0,0,0,0,0.111111111111111,0,0,0.0363636363636364,0.0128205128205128,0,0,0.025,0.025,0.0238095238095238,0.114754098360656,0.0153301886792453,0.00833333333333333,0.0189189189189189,0.0264900662251656,0.0119047619047619,0.0206185567010309,0.0135135135135135,0,0.0175438596491228,0,0,0.0149253731343284,0
"Cichliformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0
"Ciconiiformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0
"Cingulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027027027,0,0,0,0,0,0,0,0,0,0
"Clupeiformes",0,0,0,0.36144578313253,0.41495145631068,0,0,0,0,0,0,0.130434782608696,0,0.333333333333333,0.277777777777778,0,0.0340136054421769,0.0909090909090909,0,0.0291970802919708,0.375,0.175,0,0,0,0.00471698113207547,0,0.00540540540540541,0.0397350993377483,0.0178571428571429,0,0.0675675675675676,0,0.0087719298245614,0.0307692307692308,0.0277777777777778,0.0149253731343284,0.135135135135135
"Coelacanthiformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117924528301887,0,0,0,0,0,0,0,0,0,0,0,0
"Coleoptera",0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0.0434782608695652,0.133333333333333,0,0,0.0714285714285714,0.0476190476190476,0,0.0128205128205128,0.0145985401459854,0,0.025,0,0,0.0163934426229508,0.0117924528301887,0.025,0.0135135135135135,0.00662251655629139,0.00595238095238095,0.0206185567010309,0.0202702702702703,0.02,0.0175438596491228,0.0461538461538462,0.0277777777777778,0.0447761194029851,0
"Columbiformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327868852459016,0.00117924528301887,0.025,0,0,0,0,0,0,0,0,0,0,0
"Coraciiformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0.0027027027027027,0,0,0,0,0,0,0.00769230769230769,0.0277777777777778,0,0
"Cuculiformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833333333333333,0.0027027027027027,0,0.00595238095238095,0,0,0,0,0,0,0,0
"Cypriniformes",0,0,0,0,0,0.333333333333333,0.0196078431372549,0,0,0,0,0.0434782608695652,0,0,0.222222222222222,0.107142857142857,0.108843537414966,0.109090909090909,0.0384615384615385,0,0,0,0,0,0,0.00943396226415094,0.025,0.0594594594594595,0.0529801324503311,0.0238095238095238,0.0721649484536082,0,0.04,0.0087719298245614,0,0.0277777777777778,0,0.027027027027027
"Cyprinodontiformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0.025,0,0,0,0.00117924528301887,0,0.0135135135135135,0,0,0,0,0,0,0,0,0,0
"Dasyuromorphia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0.0035377358490566,0,0.00540540540540541,0.00662251655629139,0,0,0,0,0,0,0.0277777777777778,0,0
"Dermoptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117924528301887,0,0,0,0,0,0,0,0,0,0,0,0
"Didelphimorphia",0,0,0,0,0,0,0.0784313725490196,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0.0072992700729927,0,0,0,0,0.0163934426229508,0.00589622641509434,0,0.00540540540540541,0.0033112582781457,0.0476190476190476,0.0103092783505155,0.00675675675675676,0.02,0,0,0,0.0298507462686567,0
"Dinornithiformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198675496688742,0,0,0,0,0,0,0,0,0
"Diprotodontia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218978102189781,0,0,0,0,0,0.0224056603773585,0,0,0.0198675496688742,0,0,0,0,0.0087719298245614,0,0,0,0
"Ephemeroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072992700729927,0,0,0,0,0,0,0,0.00540540540540541,0,0,0,0,0,0,0,0,0,0
"Eulipotyphla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0.0218978102189781,0,0,0,0,0,0.0377358490566038,0,0.027027027027027,0,0.0416666666666667,0.0309278350515464,0.00675675675675676,0,0,0,0,0.0597014925373134,0
"Falconiformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027027027027027,0,0,0,0,0,0.0526315789473684,0.0230769230769231,0,0,0
