sum.taxonomy	X12S_Sample.EB.combined	X12S_Sample.FB.combined	X12S_Sample12.2.StatNo.12	X12S_Sample12.3.StatNo.12	X12S_Sample13.1.StatNo.13	X12S_Sample13.2.StatNo.13	X12S_Sample16.2.StatNo.16	X12S_Sample16.3.StatNo.16	X12S_Sample17.1.StatNo.17	X12S_Sample17.2.StatNo.17	X12S_Sample17.3.StatNo.17	X12S_Sample17.4.StatNo.17	X12S_Sample18.2.StatNo.18	X12S_Sample18.3.StatNo.18	X12S_Sample19.1.StatNo.19	X12S_Sample19.2.StatNo.19	X12S_Sample25.1.StatNo.28	X12S_Sample25.11.StatNo.28	X12S_Sample25.2.StatNo.28	X12S_Sample26.11.StatNo.45	X12S_Sample26.12.StatNo.45	X12S_Sample27.11.StatNo.41	X12S_Sample3.1.StatNo.3	X12S_Sample3.2.StatNo.3	X12S_Sample3.3.StatNo.3	X12S_Sample3.4.StatNo.3	X12S_Sample4.1.StatNo.4	X12S_Sample4.2.StatNo.4	X12S_Sample5.1.StatNo.5	X12S_Sample5.2.StatNo.5	X12S_Sample5.3.StatNo.5	X12S_Sample5.4.StatNo.5	X12S_Sample6.2.StatNo.6	X12S_Sample6.3.StatNo.6	X12S_Sample6.4.StatNo.6	X12S_Sample6.5.StatNo.6	X12S_Sample7.2.StatNo.7	X12S_Sample7.3.StatNo.7	X12S_Sample7.4.StatNo.7	X12S_Sample7.5.StatNo.7	X12S_Sample8.1.StatNo.8	X12S_Sample8.2.StatNo.8
Eukaryota;Chordata;Actinopteri;Anabantiformes;Channidae;Channa;Channa micropeltes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anabantiformes;Channidae;Channa;Channa punctata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anabantiformes;Channidae;Channa;Channa striata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Myrocongridae;Myroconger;Myroconger compressus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Serrivomeridae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Serrivomeridae;Serrivomer;	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina kagoshimae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina silus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Bathylagus;Bathylagus pacificus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Leuroglossus;Leuroglossus schmidti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Lipolagus;Lipolagus ochotensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Melanolagus;Melanolagus bericoides	0	0	0	0	0	8196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;NA;	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Pseudobathylagus;Pseudobathylagus milleri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Microstomatidae;NA;	1	0	1	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	156767	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	680
Eukaryota;Chordata;Actinopteri;Argentiniformes;Microstomatidae;Nansenia;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	86
Eukaryota;Chordata;Actinopteri;Argentiniformes;Microstomatidae;Nansenia;Nansenia ardesiaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45
Eukaryota;Chordata;Actinopteri;Argentiniformes;Microstomatidae;Nansenia;Nansenia sanrikuensis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Eukaryota;Chordata;Actinopteri;Argentiniformes;Microstomatidae;Xenophthalmichthys;Xenophthalmichthys danae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Eukaryota;Chordata;Actinopteri;Argentiniformes;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56991
Eukaryota;Chordata;Actinopteri;Argentiniformes;Opisthoproctidae;Macropinna;Macropinna microstoma	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Opisthoproctidae;Monacoa;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Opisthoproctidae;Monacoa;Monacoa sp. JYP-2016b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Opisthoproctidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;Chordata;Actinopteri;Argentiniformes;Opisthoproctidae;Opisthoproctus;Opisthoproctus soleatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Atherinomorus;Atherinomorus aetholepis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Atherinosoma;Atherinosoma microstoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Menidia;Menidia beryllina	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;	252573	147075	1	0	1	1	102	647	1419	18169	117730	0	0	0	5	0	135290	0	0	0	0	320	0	723	63915	0	0	0	17	0	30396	170541	0	2032	0	1	0	0	568	11	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;Odontesthes bonariensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;Odontesthes incisa	9	39	0	0	9	12	78	506	1071	13055	82206	0	1	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;Odontesthes smitti	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;Odontesthes sp. Odsp-001	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Melanotaeniidae;Melanotaenia;Melanotaenia australis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Aulopiformes;Scopelarchidae;Scopelarchus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon;	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Exocoetus;Exocoetus volitans	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Hirundichthys;	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;NA;	1	0	0	25	180563	1	0	0	3	1	2	113117	0	0	58836	2	0	0	0	0	0	780	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Beryciformes;Anomalopidae;Anomalops;Anomalops katoptron	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Beryciformes;Barbourisiidae;Barbourisia;Barbourisia rufa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Beryciformes;Berycidae;Beryx;Beryx mollis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Eukaryota;Chordata;Actinopteri;Beryciformes;Berycidae;Beryx;Beryx sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
